,country,year,d_protest,preds_proba
470,Kenya,2023,1,0.7286284576806905
471,Kuwait,2017,0,0.322004506394191
472,Kuwait,2018,0,0.33244070245210133
473,Kuwait,2019,0,0.35007110014070963
474,Kuwait,2020,0,0.3962917485871702
475,Kuwait,2021,0,0.40082496202421886
476,Kuwait,2022,0,0.37978975794738523
477,Kuwait,2023,0,0.3874783874947848
478,Kyrgyzstan,2018,1,0.6773736753806682
479,Kyrgyzstan,2019,1,0.6791008142364798
480,Kyrgyzstan,2020,1,0.7091672133782346
481,Kyrgyzstan,2021,1,0.7234716140234829
482,Kyrgyzstan,2022,1,0.6944366359101973
483,Kyrgyzstan,2023,1,0.670772294353255
484,Laos,2017,0,0.1750876246468547
485,Laos,2018,0,0.19210798329493836
486,Laos,2019,0,0.22763620303063553
487,Laos,2020,0,0.26766621089043485
488,Laos,2021,0,0.28251159373384843
489,Laos,2022,0,0.31356527772015136
490,Laos,2023,0,0.30799317922008657
491,Latvia,2020,1,0.6093384371637622
492,Latvia,2021,1,0.613763582424883
493,Latvia,2022,1,0.613404171547819
494,Latvia,2023,1,0.6089717441378749
495,Lebanon,2017,1,0.8531138723480753
496,Lebanon,2018,1,0.8549467878410927
497,Lebanon,2019,1,0.8320415791555287
498,Lebanon,2020,1,0.8166182419419482
499,Lebanon,2021,1,0.7730005474887135
500,Lebanon,2022,1,0.7567143658511684
501,Lebanon,2023,1,0.7301333750824959
502,Lesotho,2017,0,0.11858210132234168
503,Lesotho,2018,0,0.117775819407582
504,Lesotho,2019,0,0.15609815266138852
505,Lesotho,2020,0,0.15686926620226382
506,Lesotho,2021,0,0.18101899956525308
507,Lesotho,2022,0,0.1796969935035872
508,Lesotho,2023,0,0.18450322637109293
509,Liberia,2017,0,0.3314359447140536
510,Liberia,2018,0,0.3348903740259519
511,Liberia,2019,1,0.3247691501401261
512,Liberia,2020,1,0.3304688981817698
513,Liberia,2021,0,0.3134291159316866
514,Liberia,2022,0,0.3115178710316716
515,Liberia,2023,1,0.30244129266790953
516,Libya,2017,1,0.853028854424494
517,Libya,2018,1,0.8005901900691875
518,Libya,2019,1,0.8200711344590638
519,Libya,2020,1,0.8285612446912995
520,Libya,2021,1,0.7703630500695009
521,Libya,2022,1,0.7513076637489
522,Libya,2023,1,0.6930128622309056
523,Lithuania,2020,1,0.6399047934648914
524,Lithuania,2021,1,0.6401757725679428
525,Lithuania,2022,1,0.6321353521319899
526,Lithuania,2023,1,0.6113470079290108
527,Luxembourg,2020,1,0.6074034004359875
528,Luxembourg,2021,1,0.6039965445415894
529,Luxembourg,2022,1,0.5886542890861254
530,Luxembourg,2023,1,0.5680971941803824
531,Madagascar,2017,0,0.4215151997435258
532,Madagascar,2018,0,0.4064687264517168
533,Madagascar,2019,1,0.37226184484389047
534,Madagascar,2020,1,0.4032669367611291
535,Madagascar,2021,1,0.39507448692102176
536,Madagascar,2022,1,0.3844959591633407
537,Madagascar,2023,1,0.3824575279030011
538,Malawi,2017,0,0.11952631259777607
539,Malawi,2018,0,0.13753342286882997
540,Malawi,2019,1,0.16077435903578352
541,Malawi,2020,1,0.18988715789095134
542,Malawi,2021,1,0.21102475361275355
543,Malawi,2022,1,0.2370246233869459
544,Malawi,2023,1,0.2392478292142537
545,Malaysia,2018,1,0.6989539086662916
546,Malaysia,2019,1,0.7184116672567832
547,Malaysia,2020,1,0.7300528596217598
548,Malaysia,2021,1,0.7091288215636284
549,Malaysia,2022,1,0.7120919249474664
550,Malaysia,2023,1,0.6858790421322676
551,Maldives,2020,1,0.5864815200197357
552,Maldives,2021,1,0.5975342829031876
553,Maldives,2022,1,0.627371361495288
554,Maldives,2023,1,0.6477136232603595
555,Mali,2017,0,0.1627628844314381
556,Mali,2018,1,0.22467576165571654
557,Mali,2019,1,0.24747572772288634
558,Mali,2020,1,0.3050515557288847
559,Mali,2021,1,0.3026219642238029
560,Mali,2022,1,0.30574977849007356
561,Mali,2023,1,0.2964162374821947
562,Malta,2020,1,0.6133209709498175
563,Malta,2021,1,0.6021011976979664
564,Malta,2022,1,0.5863354833768419
565,Malta,2023,1,0.5601987066740689
566,Mauritania,2017,1,0.44234490889362826
567,Mauritania,2018,1,0.4921989750181494
568,Mauritania,2019,1,0.47556797528455097
569,Mauritania,2020,1,0.4412502726898625
570,Mauritania,2021,1,0.44856725496588096
571,Mauritania,2022,1,0.4354507543998092
572,Mauritania,2023,1,0.40494469965370244
573,Mauritius,2020,1,0.6230639325612352
574,Mauritius,2021,1,0.6145036576902038
575,Mauritius,2022,1,0.6003821139747663
576,Mauritius,2023,1,0.5893464060370797
577,Mexico,2018,1,0.785528232148653
578,Mexico,2019,1,0.7980520517580356
579,Mexico,2020,1,0.8101008839075106
580,Mexico,2021,1,0.7957937879415125
581,Mexico,2022,1,0.7813289419962532
582,Mexico,2023,1,0.7672382128268468
583,Moldova,2018,1,0.6922079128646188
584,Moldova,2019,1,0.6824530961397668
585,Moldova,2020,1,0.6733443612030371
586,Moldova,2021,1,0.7144731696897316
587,Moldova,2022,1,0.6934115445906801
588,Moldova,2023,1,0.697372370567699
589,Mongolia,2018,1,0.6348063192761495
590,Mongolia,2019,1,0.6376018322921466
591,Mongolia,2020,1,0.6642983929008474
592,Mongolia,2021,1,0.6690833627170967
593,Mongolia,2022,1,0.6671811945760527
594,Mongolia,2023,1,0.6806889060006232
595,Montenegro,2018,1,0.5988839209732745
596,Montenegro,2019,1,0.6213704209500581
597,Montenegro,2020,1,0.6209438803860627
598,Montenegro,2021,1,0.5855135295350646
599,Montenegro,2022,1,0.5920093861403575
600,Montenegro,2023,1,0.5904423449246026
601,Morocco,2017,1,0.8242547260759608
602,Morocco,2018,1,0.8354391752187625
603,Morocco,2019,1,0.8003133362401145
604,Morocco,2020,1,0.7958353470308195
605,Morocco,2021,1,0.8126168142960375
606,Morocco,2022,1,0.7958489836082253
607,Morocco,2023,1,0.7589085747614397
608,Mozambique,2017,0,0.11329356534495569
609,Mozambique,2018,0,0.14204886907167238
610,Mozambique,2019,0,0.14239478552160162
611,Mozambique,2020,0,0.16778999778448817
612,Mozambique,2021,0,0.17584829829867282
613,Mozambique,2022,1,0.1939649551136769
614,Mozambique,2023,1,0.23146051494159256
615,Myanmar (Burma),2017,1,0.8801958483474714
616,Myanmar (Burma),2018,1,0.8683150755176089
617,Myanmar (Burma),2019,1,0.8597273803665958
618,Myanmar (Burma),2020,1,0.8482772061752231
619,Myanmar (Burma),2021,1,0.8247564817120248
620,Myanmar (Burma),2022,1,0.8181154617416841
621,Myanmar (Burma),2023,1,0.7917125541624545
622,Namibia,2017,0,0.7927581348913746
623,Namibia,2018,1,0.7066029310815098
624,Namibia,2019,1,0.6227205189086685
625,Namibia,2020,1,0.623127401267136
626,Namibia,2021,1,0.6071105646700957
627,Namibia,2022,1,0.5965993310443238
628,Namibia,2023,1,0.5570835086638841
629,Nepal,2017,1,0.892937292626471
630,Nepal,2018,1,0.8732691500464443
631,Nepal,2019,1,0.8400416421638657
632,Nepal,2020,1,0.8234631944989675
633,Nepal,2021,1,0.801066476797557
634,Nepal,2022,1,0.7930943902613491
635,Nepal,2023,1,0.7547810707053542
636,Netherlands,2020,1,0.7001804858246224
637,Netherlands,2021,1,0.6935747766304087
638,Netherlands,2022,1,0.6906737429663252
639,Netherlands,2023,1,0.6720671979254945
640,New Zealand,2021,1,0.6458275753296433
641,New Zealand,2022,1,0.6460849403441027
642,New Zealand,2023,1,0.6185110618778614
