,country,year,d_sb,preds,preds_proba
301,Malta,2017,0,0,8.177136000840652e-05
302,Malta,2018,0,0,0.00019626425190803442
303,Malta,2019,0,0,0.00019626425190803442
304,Malta,2020,0,0,0.00019626425190803442
305,Malta,2021,0,0,0.00020120563475402387
306,Malta,2022,0,0,0.0008738513746643377
307,Malta,2023,0,0,0.0008738513746643377
308,Albania,2017,0,0,4.9460680500752276e-05
309,Albania,2018,0,0,0.0001997828655034223
310,Albania,2019,0,0,3.960927413154867e-05
311,Albania,2020,0,0,3.960927413154867e-05
312,Albania,2021,0,0,7.037289677275165e-05
313,Albania,2022,0,0,2.7357236936351526e-05
314,Albania,2023,0,0,2.7357236936351526e-05
315,Serbia,2017,0,0,0.009676394166307162
316,Serbia,2018,0,0,0.0020344128348691354
317,Serbia,2019,0,0,0.0003429746211577704
318,Serbia,2020,0,0,0.0011649087759856207
319,Serbia,2021,0,0,0.00026425443392022577
320,Serbia,2022,0,0,0.00026364628853460276
321,Serbia,2023,0,0,0.00026364628853460276
322,Montenegro,2017,0,0,0.009676394166307162
323,Montenegro,2018,0,0,0.0020344128348691354
324,Montenegro,2019,0,0,0.0003429746211577704
325,Montenegro,2020,0,0,0.0011649087759856207
326,Montenegro,2021,0,0,0.00026425443392022577
327,Montenegro,2022,0,0,0.00026364628853460276
328,Montenegro,2023,0,0,0.00026364628853460276
329,North Macedonia,2017,0,0,0.0002940525888216364
330,North Macedonia,2018,0,0,0.0003200683528530085
331,North Macedonia,2019,0,0,0.00036297978422179545
332,North Macedonia,2020,0,0,0.007757611192532013
333,North Macedonia,2021,0,0,0.0005404522684052582
334,North Macedonia,2022,0,0,0.0005048811034972985
335,North Macedonia,2023,0,0,0.018285166563076858
336,Croatia,2017,0,0,0.010680997753906471
337,Croatia,2018,0,0,0.0019634432257829163
338,Croatia,2019,0,0,0.0011032186387988018
339,Croatia,2020,0,0,0.001237702008517936
340,Croatia,2021,0,0,0.006720897729065811
341,Croatia,2022,0,0,0.0014494178004252852
342,Croatia,2023,0,0,0.0014138466355173255
343,Bosnia-Herzegovina,2017,0,0,0.010680997753906471
344,Bosnia-Herzegovina,2018,0,0,0.0019634432257829163
345,Bosnia-Herzegovina,2019,0,0,0.0011032186387988018
346,Bosnia-Herzegovina,2020,0,0,0.001237702008517936
347,Bosnia-Herzegovina,2021,0,0,0.006720897729065811
348,Bosnia-Herzegovina,2022,0,0,0.0014494178004252852
