,country,year,d_civil_war,preds,preds_proba
580,Liberia,2023,0,0,0.0
581,Sierra Leone,2017,0,0,0.0
582,Sierra Leone,2018,0,0,0.0
583,Sierra Leone,2019,0,0,0.0
584,Sierra Leone,2020,0,0,6.666666666666667e-05
585,Sierra Leone,2021,0,0,0.0010958072972778853
586,Sierra Leone,2022,0,0,0.003140599188393306
587,Sierra Leone,2023,0,0,0.0
588,Ghana,2017,0,0,0.0011318733145939026
589,Ghana,2018,0,0,0.0005592118257559433
590,Ghana,2019,0,0,0.00021875
591,Ghana,2020,0,0,0.00021875
592,Ghana,2021,0,0,0.00021875
593,Ghana,2022,0,0,0.0032356560106560103
594,Ghana,2023,0,0,0.2211137056570879
595,Togo,2017,0,0,0.0
596,Togo,2018,0,0,0.0
597,Togo,2019,0,0,6.666666666666667e-05
598,Togo,2020,0,0,0.0011318733145939026
599,Togo,2021,0,0,0.0005592118257559433
600,Togo,2022,0,0,0.00021875
601,Togo,2023,0,0,0.14455836703071615
602,Cameroon,2017,0,0,0.00739431818181818
603,Cameroon,2018,0,0,0.009308603896103895
604,Cameroon,2019,0,0,0.061266492372007104
605,Cameroon,2020,0,0,0.1800641191690147
606,Cameroon,2021,0,0,0.2091233668958321
607,Cameroon,2022,0,0,0.14705363565098473
608,Cameroon,2023,0,0,0.14455836703071615
609,Nigeria,2017,1,0,0.48112883276499074
610,Nigeria,2018,1,0,0.4573619284117161
611,Nigeria,2019,1,1,0.6254161008152503
612,Nigeria,2020,1,1,0.6673211259801441
613,Nigeria,2021,1,1,0.7361565608153471
614,Nigeria,2022,1,1,0.7157139994143301
615,Nigeria,2023,1,1,0.7231670422048727
616,Gabon,2017,0,0,0.0
617,Gabon,2018,0,0,0.0
618,Gabon,2019,0,0,6.666666666666667e-05
619,Gabon,2020,0,0,0.0011318733145939026
620,Gabon,2021,0,0,0.0005592118257559433
621,Gabon,2022,0,0,0.00021875
622,Gabon,2023,0,0,0.00021875
623,Central African Republic,2017,0,0,0.00739431818181818
624,Central African Republic,2018,0,0,0.009308603896103895
625,Central African Republic,2019,0,0,6.666666666666667e-05
