,country,year,d_civil_conflict,preds,preds_proba
316,Serbia,2018,0,0,0.04274465691788527
317,Serbia,2019,0,0,0.020247469066366704
318,Serbia,2020,0,0,0.030371203599550055
319,Serbia,2021,0,0,0.09167604049493813
320,Serbia,2022,0,0,0.12992125984251968
321,Serbia,2023,0,0,0.19010123734533182
322,Montenegro,2017,0,0,0.00843644544431946
323,Montenegro,2018,0,0,0.012373453318335208
324,Montenegro,2019,0,0,0.012373453318335208
325,Montenegro,2020,0,0,0.11192350956130484
326,Montenegro,2021,0,0,0.019122609673790775
327,Montenegro,2022,0,0,0.03768278965129359
328,Montenegro,2023,0,0,0.05568053993250844
329,North Macedonia,2017,0,0,0.00843644544431946
330,North Macedonia,2018,0,0,0.02924634420697413
331,North Macedonia,2019,0,0,0.010686164229471317
332,North Macedonia,2020,0,0,0.020247469066366704
333,North Macedonia,2021,0,0,0.0140607424071991
334,North Macedonia,2022,0,0,0.026434195725534307
335,North Macedonia,2023,0,0,0.05230596175478065
336,Croatia,2017,0,0,0.0005624296962879641
337,Croatia,2018,0,0,0.006186726659167604
338,Croatia,2019,0,0,0.0
339,Croatia,2020,0,0,0.003374578177727784
340,Croatia,2021,0,0,0.007311586051743532
341,Croatia,2022,0,0,0.17716535433070865
342,Croatia,2023,0,0,0.19460067491563554
343,Bosnia-Herzegovina,2017,0,0,0.0
344,Bosnia-Herzegovina,2018,0,0,0.0011248593925759281
345,Bosnia-Herzegovina,2019,0,0,0.003374578177727784
346,Bosnia-Herzegovina,2020,0,0,0.012935883014623173
347,Bosnia-Herzegovina,2021,0,0,0.007311586051743532
348,Bosnia-Herzegovina,2022,0,0,0.06074240719910011
349,Bosnia-Herzegovina,2023,0,0,0.08886389201349831
350,Slovenia,2017,0,0,0.001687289088863892
351,Slovenia,2018,0,0,0.0
352,Slovenia,2019,0,0,0.0
353,Slovenia,2020,0,0,0.0
354,Slovenia,2021,0,0,0.0022497187851518562
355,Slovenia,2022,0,0,0.03768278965129359
356,Slovenia,2023,0,0,0.09055118110236221
357,Greece,2017,0,0,0.012373453318335208
358,Greece,2018,0,0,0.012935883014623173
359,Greece,2019,0,0,0.012373453318335208
360,Greece,2020,0,0,0.03093363329583802
361,Greece,2021,0,0,0.01799775028121485
362,Greece,2022,0,0,0.04105736782902137
363,Greece,2023,0,0,0.08211473565804274
364,Cyprus,2017,0,0,0.0022497187851518562
365,Cyprus,2018,0,0,0.0011248593925759281
366,Cyprus,2019,0,0,0.001687289088863892
367,Cyprus,2020,0,0,0.0011248593925759281
368,Cyprus,2021,0,0,0.0022497187851518562
369,Cyprus,2022,0,0,0.04274465691788527
370,Cyprus,2023,0,0,0.050056242969628795
371,Bulgaria,2017,0,0,0.001687289088863892
372,Bulgaria,2018,0,0,0.001687289088863892
373,Bulgaria,2019,0,0,0.007311586051743532
374,Bulgaria,2020,0,0,0.015748031496062992
375,Bulgaria,2021,0,0,0.02080989876265467
376,Bulgaria,2022,0,0,0.03543307086614173
377,Bulgaria,2023,0,0,0.05455568053993251
378,Moldova,2017,0,0,0.06017997750281215
379,Moldova,2018,0,0,0.08380202474690664
380,Moldova,2019,0,0,0.07536557930258718
381,Moldova,2020,0,0,0.09617547806524185
382,Moldova,2021,0,0,0.09673790776152981
383,Moldova,2022,0,0,0.09167604049493813
384,Moldova,2023,0,0,0.13667041619797526
385,Romania,2017,0,0,0.052868391451068614
386,Romania,2018,0,0,0.16479190101237345
387,Romania,2019,0,0,0.12767154105736783
388,Romania,2020,0,0,0.12148481439820022
389,Romania,2021,0,0,0.1625421822272216
390,Romania,2022,0,0,0.24578177727784026
391,Romania,2023,0,0,0.27727784026996627
392,Russia (Soviet Union),2017,1,1,0.7626546681664792
393,Russia (Soviet Union),2018,1,1,0.641169853768279
394,Russia (Soviet Union),2019,1,1,0.6383577052868391
395,Russia (Soviet Union),2020,1,0,0.4544431946006749
396,Russia (Soviet Union),2021,0,1,0.6327334083239595
397,Russia (Soviet Union),2022,0,1,0.5973003374578177
398,Russia (Soviet Union),2023,1,1,0.5539932508436446
399,Estonia,2017,0,0,0.008998875140607425
400,Estonia,2018,0,0,0.03262092238470191
401,Estonia,2019,0,0,0.021372328458942633
402,Estonia,2020,0,0,0.0281214848143982
403,Estonia,2021,0,0,0.01968503937007874
