,country,year,d_protest,preds,preds_proba
534,Madagascar,2020,1,1,0.9935466853262501
535,Madagascar,2021,1,1,0.9935466853262501
536,Madagascar,2022,1,1,0.9935466853262501
537,Madagascar,2023,1,1,0.9935466853262501
538,Malawi,2017,0,0,0.15221560989430713
539,Malawi,2018,0,0,0.1008733100606626
540,Malawi,2019,1,0,0.05426646780658667
541,Malawi,2020,1,1,0.9047996342994389
542,Malawi,2021,1,1,0.9823605378102361
543,Malawi,2022,1,1,1.0
544,Malawi,2023,1,1,1.0
545,Malaysia,2018,1,1,0.5085174115279945
546,Malaysia,2019,1,1,1.0
547,Malaysia,2020,1,1,1.0
548,Malaysia,2021,1,1,1.0
549,Malaysia,2022,1,1,1.0
550,Malaysia,2023,1,1,1.0
551,Maldives,2020,1,0,0.05426646780658667
552,Maldives,2021,1,1,0.9047996342994389
553,Maldives,2022,1,1,0.9823605378102361
554,Maldives,2023,1,1,0.9882127423994393
555,Mali,2017,0,0,0.14078947958198043
556,Mali,2018,1,0,0.1560499094978047
557,Mali,2019,1,1,1.0
558,Mali,2020,1,1,1.0
559,Mali,2021,1,1,1.0
560,Mali,2022,1,1,1.0
561,Mali,2023,1,1,1.0
562,Malta,2020,1,0,0.05366482411430405
563,Malta,2021,1,1,0.9823605378102361
564,Malta,2022,1,1,0.9882127423994393
565,Malta,2023,1,1,0.9928037432757301
566,Mauritania,2017,1,0,0.13712775281803363
567,Mauritania,2018,1,1,1.0
568,Mauritania,2019,1,1,1.0
569,Mauritania,2020,1,1,1.0
570,Mauritania,2021,1,1,1.0
571,Mauritania,2022,1,1,1.0
572,Mauritania,2023,1,1,1.0
573,Mauritius,2020,1,0,0.07702048501102236
574,Mauritius,2021,1,1,0.6055739505652447
575,Mauritius,2022,1,1,0.8275999375979708
576,Mauritius,2023,1,1,0.960506772457214
577,Mexico,2018,1,1,0.788268468497815
578,Mexico,2019,1,1,0.8745259081392059
579,Mexico,2020,1,1,0.8745259081392059
580,Mexico,2021,1,1,0.8745259081392059
581,Mexico,2022,1,1,0.8745259081392059
582,Mexico,2023,1,1,0.8745259081392059
583,Moldova,2018,1,0,0.09954755982201144
584,Moldova,2019,1,1,0.9751926040143852
585,Moldova,2020,1,1,0.9739189890706365
586,Moldova,2021,1,1,0.9709472208685562
587,Moldova,2022,1,1,0.9682491449251345
588,Moldova,2023,1,1,0.9680368757678429
589,Mongolia,2018,1,1,0.7292778013795801
590,Mongolia,2019,1,1,0.999575461685417
591,Mongolia,2020,1,1,0.999575461685417
592,Mongolia,2021,1,1,0.999575461685417
593,Mongolia,2022,1,1,0.999575461685417
594,Mongolia,2023,1,1,0.999575461685417
595,Montenegro,2018,1,0,0.0013911078481483165
596,Montenegro,2019,1,1,0.9751926040143852
597,Montenegro,2020,1,1,0.9751926040143852
598,Montenegro,2021,1,1,0.9751926040143852
599,Montenegro,2022,1,1,0.9751926040143852
600,Montenegro,2023,1,1,0.9751926040143852
601,Morocco,2017,1,1,1.0
602,Morocco,2018,1,1,1.0
603,Morocco,2019,1,1,1.0
604,Morocco,2020,1,1,1.0
605,Morocco,2021,1,1,1.0
606,Morocco,2022,1,1,1.0
