,country,year,d_civil_conflict,preds,preds_proba
313,Albania,2022,0,0,0.00021226915729144553
314,Albania,2023,0,0,0.0022159613541485753
315,Serbia,2017,0,0,0.02605420829789329
316,Serbia,2018,0,0,0.014073441005090339
317,Serbia,2019,0,0,0.017547579546093664
318,Serbia,2020,0,0,0.028258327441091177
319,Serbia,2021,0,0,0.03921505273659803
320,Serbia,2022,0,0,0.0319697606145469
321,Serbia,2023,0,0,0.03419858676610707
322,Montenegro,2017,0,0,0.007720713329925814
323,Montenegro,2018,0,0,0.007412923051853216
324,Montenegro,2019,0,0,0.012028169123265703
325,Montenegro,2020,0,0,0.016116280120737774
326,Montenegro,2021,0,0,0.01882975283027726
327,Montenegro,2022,0,0,0.01809638370253701
328,Montenegro,2023,0,0,0.01638761698634087
329,North Macedonia,2017,0,0,0.009210873326772286
330,North Macedonia,2018,0,0,0.008359866977994764
331,North Macedonia,2019,0,0,0.011154744215665464
332,North Macedonia,2020,0,0,0.040369412657674165
333,North Macedonia,2021,0,0,0.03180081434167614
334,North Macedonia,2022,0,0,0.031016597732793867
335,North Macedonia,2023,0,0,0.03392822300697485
336,Croatia,2017,0,0,0.012102450958320202
337,Croatia,2018,0,0,0.018889918072681814
338,Croatia,2019,0,0,0.019943113000975073
339,Croatia,2020,0,0,0.021618134363960775
340,Croatia,2021,0,0,0.03226127609922733
341,Croatia,2022,0,0,0.04084048787308992
342,Croatia,2023,0,0,0.041608194658627314
343,Bosnia-Herzegovina,2017,0,0,0.04413229678049418
344,Bosnia-Herzegovina,2018,0,0,0.05011003210444049
345,Bosnia-Herzegovina,2019,0,0,0.05315207426238162
346,Bosnia-Herzegovina,2020,0,0,0.05322813737707771
347,Bosnia-Herzegovina,2021,0,0,0.05233660691645365
348,Bosnia-Herzegovina,2022,0,0,0.05233660691645365
349,Bosnia-Herzegovina,2023,0,0,0.051394260506053745
350,Slovenia,2017,0,0,0.025427486497323046
351,Slovenia,2018,0,0,0.028368218375647798
352,Slovenia,2019,0,0,0.013996792377178706
353,Slovenia,2020,0,0,0.011396495200358498
354,Slovenia,2021,0,0,0.011396495200358498
355,Slovenia,2022,0,0,0.01238708460105191
356,Slovenia,2023,0,0,0.01327861506167598
357,Greece,2017,0,0,0.0026930968981489036
358,Greece,2018,0,0,0.003436038948668963
359,Greece,2019,0,0,0.004921923049709082
360,Greece,2020,0,0,0.004426628349362376
361,Greece,2021,0,0,0.004178980999189023
