,country,year,d_osv,preds,preds_proba
287,Slovakia,2017,0,0,0.0
288,Slovakia,2018,0,0,0.008849557522123894
289,Slovakia,2019,0,0,0.0
290,Slovakia,2020,0,0,0.011430678466076694
291,Slovakia,2021,0,0,0.020280235988200588
292,Slovakia,2022,0,0,0.07636430678466076
293,Slovakia,2023,0,0,0.08222713864306785
294,Italy,2017,0,0,0.031563421828908554
295,Italy,2018,0,0,0.04819321533923304
296,Italy,2019,0,0,0.05446165191740413
297,Italy,2020,0,0,0.04520648967551622
298,Italy,2021,0,0,0.05549410029498525
299,Italy,2022,0,0,0.2072587442056469
300,Italy,2023,0,0,0.25907055702409687
301,Malta,2017,0,0,0.008960176991150441
302,Malta,2018,0,0,0.02518436578171092
303,Malta,2019,0,0,0.028502949852507377
304,Malta,2020,0,0,0.05173303834808259
305,Malta,2021,0,0,0.07452064896755162
306,Malta,2022,0,0,0.13737357774968392
307,Malta,2023,0,0,0.1447850821744627
308,Albania,2017,0,0,0.01032448377581121
309,Albania,2018,0,0,0.07883480825958702
310,Albania,2019,0,0,0.11562895069532238
311,Albania,2020,0,0,0.09974188790560473
312,Albania,2021,0,0,0.19922039612305098
313,Albania,2022,0,0,0.059918879056047196
314,Albania,2023,0,0,0.0637905604719764
315,Serbia,2017,0,0,0.016571849978929624
316,Serbia,2018,0,0,0.043657817109144556
317,Serbia,2019,0,0,0.032374631268436586
318,Serbia,2020,0,0,0.0887905604719764
319,Serbia,2021,0,0,0.02474188790560472
320,Serbia,2022,0,0,0.07179203539823008
321,Serbia,2023,0,0,0.027876106194690265
322,Montenegro,2017,0,0,0.0
323,Montenegro,2018,0,0,0.0011061946902654867
324,Montenegro,2019,0,0,0.00331858407079646
325,Montenegro,2020,0,0,0.05384183171793791
326,Montenegro,2021,0,0,0.013569321533923304
327,Montenegro,2022,0,0,0.05624209860935524
328,Montenegro,2023,0,0,0.0645385587863464
329,North Macedonia,2017,0,0,0.0029498525073746312
330,North Macedonia,2018,0,0,0.010471976401179939
331,North Macedonia,2019,0,0,0.0011061946902654867
332,North Macedonia,2020,0,0,0.0011061946902654867
333,North Macedonia,2021,0,0,0.012721238938053098
334,North Macedonia,2022,0,0,0.004424778761061947
335,North Macedonia,2023,0,0,0.010508849557522125
336,Croatia,2017,0,0,0.0
337,Croatia,2018,0,0,0.0
338,Croatia,2019,0,0,0.0011061946902654867
339,Croatia,2020,0,0,0.0014749262536873156
340,Croatia,2021,0,0,0.0
341,Croatia,2022,0,0,0.12555309734513273
342,Croatia,2023,0,0,0.10619469026548672
343,Bosnia-Herzegovina,2017,0,0,0.0
344,Bosnia-Herzegovina,2018,0,0,0.0018436578171091443
345,Bosnia-Herzegovina,2019,0,0,0.0
346,Bosnia-Herzegovina,2020,0,0,0.024309945217024866
347,Bosnia-Herzegovina,2021,0,0,0.0055309734513274336
348,Bosnia-Herzegovina,2022,0,0,0.06980088495575222
349,Bosnia-Herzegovina,2023,0,0,0.10280235988200585
350,Slovenia,2017,0,0,0.0
351,Slovenia,2018,0,0,0.0
352,Slovenia,2019,0,0,0.0
353,Slovenia,2020,0,0,0.0
354,Slovenia,2021,0,0,0.0
355,Slovenia,2022,0,0,0.06286873156342183
356,Slovenia,2023,0,0,0.10387694900969238
357,Greece,2017,0,0,0.06777812895069532
358,Greece,2018,0,0,0.0918931731984829
359,Greece,2019,0,0,0.12031184155077959
360,Greece,2020,0,0,0.1463179519595449
361,Greece,2021,0,0,0.14023388116308466
362,Greece,2022,0,0,0.1282026970080067
363,Greece,2023,0,0,0.12967762326169402
364,Cyprus,2017,0,0,0.006084070796460177
365,Cyprus,2018,0,0,0.0
366,Cyprus,2019,0,0,0.0
367,Cyprus,2020,0,0,0.0
368,Cyprus,2021,0,0,0.0
369,Cyprus,2022,0,0,0.007743362831858407
370,Cyprus,2023,0,0,0.021755162241887907
371,Bulgaria,2017,0,0,0.0
372,Bulgaria,2018,0,0,0.0011061946902654867
373,Bulgaria,2019,0,0,0.0011061946902654867
374,Bulgaria,2020,0,0,0.00331858407079646
375,Bulgaria,2021,0,0,0.06814159292035399
376,Bulgaria,2022,0,0,0.07149705014749262
377,Bulgaria,2023,0,0,0.08989675516224188
378,Moldova,2017,0,0,0.12013274336283182
379,Moldova,2018,0,0,0.14269911504424776
380,Moldova,2019,0,0,0.12861356932153387
381,Moldova,2020,0,0,0.09063421828908556
382,Moldova,2021,0,0,0.12481563421828906
383,Moldova,2022,0,0,0.10294985250737464
384,Moldova,2023,0,0,0.3759218289085547
385,Romania,2017,0,0,0.02488938053097345
386,Romania,2018,0,0,0.12890855457227138
387,Romania,2019,0,0,0.1662979351032448
388,Romania,2020,0,0,0.17977507374631269
389,Romania,2021,0,0,0.11342182890855457
390,Romania,2022,0,0,0.09524336283185841
391,Romania,2023,0,0,0.12039085545722712
392,Russia (Soviet Union),2017,0,1,0.8161741466498104
393,Russia (Soviet Union),2018,1,1,0.748364412136536
394,Russia (Soviet Union),2019,0,1,0.7149994732406236
395,Russia (Soviet Union),2020,1,1,0.6888010956595028
396,Russia (Soviet Union),2021,0,1,0.6862752844500631
397,Russia (Soviet Union),2022,0,1,0.6147413611462282
398,Russia (Soviet Union),2023,0,1,0.6070717446270543
399,Estonia,2017,0,0,0.00752212389380531
400,Estonia,2018,0,0,0.050700589970501475
401,Estonia,2019,0,0,0.05328171091445428
402,Estonia,2020,0,0,0.05833333333333334
403,Estonia,2021,0,0,0.08794247787610619
404,Estonia,2022,0,0,0.10685840707964603
405,Estonia,2023,0,0,0.10918141592920352
406,Latvia,2017,0,0,0.0011061946902654867
407,Latvia,2018,0,0,0.0
408,Latvia,2019,0,0,0.0075589970501474925
409,Latvia,2020,0,0,0.019284660766961653
410,Latvia,2021,0,0,0.021386430678466076
411,Latvia,2022,0,0,0.043879056047197634
412,Latvia,2023,0,0,0.0456858407079646
413,Lithuania,2017,0,0,0.0022123893805309734
