,country,year,d_terror,preds,preds_proba
235,Latvia,2020,0,0,0.03818913891597595
236,Lithuania,2017,0,0,0.0687832266538423
237,Lithuania,2018,0,0,0.06190533259765811
238,Lithuania,2019,0,0,0.07031429943313516
239,Lithuania,2020,0,0,0.06477631841363411
240,Ukraine,2017,1,1,0.558708260449349
241,Ukraine,2018,1,1,0.5062706500159441
242,Ukraine,2019,1,0,0.4896184421505221
243,Ukraine,2020,0,0,0.48354458607257966
244,Belarus,2017,0,0,0.10079311155720728
245,Belarus,2018,0,0,0.1285562377443396
246,Belarus,2019,0,0,0.10424724644633201
247,Belarus,2020,0,0,0.0928778417115797
248,Armenia,2017,0,0,0.2597203547938835
249,Armenia,2018,0,0,0.2910574642400236
250,Armenia,2019,0,0,0.2887525237860071
251,Armenia,2020,0,0,0.28230079652853884
252,Georgia,2017,0,1,0.5603733963193455
253,Georgia,2018,1,1,0.5113811334888096
254,Georgia,2019,0,1,0.548055461710818
255,Georgia,2020,0,1,0.5648309961825563
256,Azerbaijan,2017,0,0,0.2943282156721988
257,Azerbaijan,2018,0,0,0.3074737485414577
258,Azerbaijan,2019,0,0,0.31584821874392505
259,Azerbaijan,2020,0,0,0.29589523536960227
260,Finland,2017,1,0,0.007894120008030657
261,Finland,2018,0,0,0.008334495038350759
262,Finland,2019,0,0,0.009747463610463273
263,Finland,2020,0,0,0.018315953642312036
264,Sweden,2017,1,0,0.20440840364219387
265,Sweden,2018,0,0,0.20764657944348783
266,Sweden,2019,0,0,0.2074885516305927
267,Sweden,2020,0,0,0.21012715648537278
268,Norway,2017,0,0,0.07054521223575203
269,Norway,2018,0,0,0.07214919453663697
270,Norway,2019,1,0,0.05232420634881693
271,Norway,2020,0,0,0.0808406462395411
272,Denmark,2017,0,0,0.15717500670247042
273,Denmark,2018,0,0,0.1840644759743043
274,Denmark,2019,0,0,0.16924172032993495
275,Denmark,2020,0,0,0.1651228551306374
276,Iceland,2017,0,0,0.004624019439476791
277,Iceland,2018,0,0,0.003739063687264402
278,Iceland,2019,0,0,0.003739063687264402
279,Iceland,2020,0,0,0.003739063687264402
280,Cabo Verde,2017,0,0,0.018399196261054428
281,Cabo Verde,2018,0,0,0.027024491977912006
282,Cabo Verde,2019,0,0,0.024776518736206003
283,Cabo Verde,2020,0,0,0.029310352123892547
284,Guinea-Bissau,2017,0,0,0.23942084665556296
285,Guinea-Bissau,2018,0,0,0.24812421928155792
286,Guinea-Bissau,2019,0,0,0.2631014326343056
287,Guinea-Bissau,2020,0,0,0.2565022401869134
288,Equatorial Guinea,2017,0,0,0.10737992798088235
289,Equatorial Guinea,2018,0,0,0.11516344647221928
290,Equatorial Guinea,2019,0,0,0.12134155263868134
291,Equatorial Guinea,2020,0,0,0.12874907874089772
292,Gambia,2017,0,0,0.026956707003928812
293,Gambia,2018,0,0,0.021965745336756833
294,Gambia,2019,0,0,0.02655857733110182
295,Gambia,2020,0,0,0.031913184609096694
296,Mali,2017,1,1,0.8875207809683865
297,Mali,2018,1,1,0.8871520494049646
298,Mali,2019,1,1,0.8945108778921117
299,Mali,2020,1,1,0.8853367737548341
300,Senegal,2017,0,1,0.528501091358627
301,Senegal,2018,1,0,0.48219447987838127
302,Senegal,2019,0,1,0.5170601804848947
303,Senegal,2020,0,1,0.5222967061795152
304,Benin,2017,0,0,0.03403117185679106
305,Benin,2018,0,0,0.043770473681259255
306,Benin,2019,1,0,0.06000924273501875
307,Benin,2020,1,0,0.04527649573038721
308,Mauritania,2017,0,0,0.2632769146892703
309,Mauritania,2018,0,0,0.1631260937172156
310,Mauritania,2019,0,0,0.161906645761042
311,Mauritania,2020,0,0,0.26862644096992394
312,Niger,2017,1,1,0.9125050142645212
313,Niger,2018,1,1,0.9113711731417453
314,Niger,2019,1,1,0.9021528840561995
315,Niger,2020,1,1,0.9021528840561995
316,Ivory Coast,2017,0,1,0.5523430374086875
317,Ivory Coast,2018,0,1,0.5555135356811383
318,Ivory Coast,2019,0,1,0.5430314280143416
319,Ivory Coast,2020,1,1,0.5485505493797018
320,Guinea,2017,0,0,0.22918710752923951
321,Guinea,2018,1,0,0.2375836519877309
322,Guinea,2019,0,0,0.23820011538725006
