,country,year,d_ns,preds,preds_proba
439,Armenia,2022,0,0,0.015115762905946451
440,Armenia,2023,0,0,0.015115762905946451
441,Georgia,2017,0,0,2.9032233283132807e-05
442,Georgia,2018,0,0,2.9032233283132807e-05
443,Georgia,2019,0,0,0.0008750884187804249
444,Georgia,2020,0,0,0.0005626854423999041
445,Georgia,2021,0,0,0.0028773561550448873
446,Georgia,2022,0,0,8.43755545010865e-05
447,Georgia,2023,0,0,8.43755545010865e-05
448,Azerbaijan,2017,0,0,0.00031483148456403447
449,Azerbaijan,2018,0,0,0.00031483148456403447
450,Azerbaijan,2019,0,0,0.015115762905946451
451,Azerbaijan,2020,0,0,0.015115762905946451
452,Azerbaijan,2021,0,0,0.00031483148456403447
453,Azerbaijan,2022,0,0,0.015115762905946451
454,Azerbaijan,2023,0,0,0.015115762905946451
455,Finland,2017,0,0,0.0005303442395120006
456,Finland,2018,0,0,0.0005303442395120006
457,Finland,2019,0,0,0.0005303442395120006
458,Finland,2020,0,0,0.0005303442395120006
459,Finland,2021,0,0,0.0005303442395120006
460,Finland,2022,0,0,0.009536091787761266
461,Finland,2023,0,0,0.05417704661854354
462,Sweden,2017,0,0,0.0036955452004251797
463,Sweden,2018,0,0,0.0036955452004251797
464,Sweden,2019,0,0,0.0036955452004251797
465,Sweden,2020,0,0,0.0036955452004251797
466,Sweden,2021,0,0,0.0036955452004251797
467,Sweden,2022,0,0,0.0036955452004251797
468,Sweden,2023,0,0,0.0036955452004251797
469,Norway,2017,0,0,0.00018680757893231744
470,Norway,2018,0,0,0.00018680757893231744
471,Norway,2019,0,0,0.00018680757893231744
472,Norway,2020,0,0,0.00018680757893231744
473,Norway,2021,0,0,0.00018680757893231744
474,Norway,2022,0,0,0.00018680757893231744
475,Norway,2023,0,0,0.00018680757893231744
476,Denmark,2017,0,0,0.0036955452004251797
477,Denmark,2018,0,0,0.0036955452004251797
478,Denmark,2019,0,0,0.0036955452004251797
479,Denmark,2020,0,0,0.0036955452004251797
480,Denmark,2021,0,0,0.0036955452004251797
481,Denmark,2022,0,0,0.0036955452004251797
482,Denmark,2023,0,0,0.0036955452004251797
483,Iceland,2017,0,0,0.0017847302864741961
484,Iceland,2018,0,0,0.0017847302864741961
485,Iceland,2019,0,0,0.0017847302864741961
486,Iceland,2020,0,0,0.0017847302864741961
487,Iceland,2021,0,0,0.0017847302864741961
488,Iceland,2022,0,0,0.0017847302864741961
489,Iceland,2023,0,0,0.0017847302864741961
490,Cabo Verde,2017,0,0,0.0007839281105419466
491,Cabo Verde,2018,0,0,9.518990891971461e-05
492,Cabo Verde,2019,0,0,9.518990891971461e-05
493,Cabo Verde,2020,0,0,9.518990891971461e-05
494,Cabo Verde,2021,0,0,9.518990891971461e-05
495,Cabo Verde,2022,0,0,0.00010322956311548707
496,Cabo Verde,2023,0,0,0.00010322956311548707
497,Guinea-Bissau,2017,0,0,9.518990891971461e-05
498,Guinea-Bissau,2018,0,0,9.518990891971461e-05
499,Guinea-Bissau,2019,0,0,9.518990891971461e-05
500,Guinea-Bissau,2020,0,0,9.518990891971461e-05
501,Guinea-Bissau,2021,0,0,0.036098898400459954
502,Guinea-Bissau,2022,0,0,0.02224715379683954
503,Guinea-Bissau,2023,0,0,0.00010322956311548707
504,Equatorial Guinea,2017,0,0,0.020933431078374472
505,Equatorial Guinea,2018,0,0,0.020933431078374472
506,Equatorial Guinea,2019,0,0,0.02621013273985066
507,Equatorial Guinea,2020,0,0,0.024792933948695264
508,Equatorial Guinea,2021,0,0,0.02582472148973462
509,Equatorial Guinea,2022,0,0,0.02752816851899155
510,Equatorial Guinea,2023,0,0,0.029024935912142877
511,Gambia,2017,0,0,0.00029419123373489387
512,Gambia,2018,0,0,0.0003312752751514278
513,Gambia,2019,0,0,0.00045611582922723277
514,Gambia,2020,0,0,0.00042678574070781176
515,Gambia,2021,0,0,0.00042678574070781176
516,Gambia,2022,0,0,0.0007345295636339128
517,Gambia,2023,0,0,0.0005253729478216444
518,Mali,2017,1,1,0.8200661774797758
519,Mali,2018,1,1,0.772365865778143
520,Mali,2019,1,1,0.8752968209243147
521,Mali,2020,1,1,0.8765755797734404
522,Mali,2021,1,1,0.8282694337521248
523,Mali,2022,1,1,0.8242402684370651
524,Mali,2023,1,1,0.8792428476922224
525,Senegal,2017,0,0,0.12651555370457118
526,Senegal,2018,0,0,0.07703731330893823
527,Senegal,2019,0,0,0.06541587373284038
528,Senegal,2020,0,0,0.04162551022144542
529,Senegal,2021,0,0,0.019879667610871253
530,Senegal,2022,0,0,0.021732763496783124
531,Senegal,2023,0,0,0.018134751100798447
532,Benin,2017,0,0,0.05759226405438494
533,Benin,2018,0,0,0.049411716063141944
534,Benin,2019,0,0,0.062008869564955243
535,Benin,2020,0,0,0.06243645435161507
536,Benin,2021,0,0,0.06277714505105018
537,Benin,2022,0,0,0.06277714505105018
538,Benin,2023,0,0,0.06420215750745278
539,Mauritania,2017,0,0,0.05759226405438494
540,Mauritania,2018,0,0,0.049411716063141944
541,Mauritania,2019,0,0,0.062008869564955243
542,Mauritania,2020,0,0,0.06243645435161507
543,Mauritania,2021,0,0,0.06277714505105018
544,Mauritania,2022,0,0,0.06277714505105018
545,Mauritania,2023,0,0,0.06420215750745278
546,Niger,2017,1,0,0.37291597610210653
547,Niger,2018,1,1,0.772365865778143
548,Niger,2019,0,1,0.8752968209243147
549,Niger,2020,0,0,0.15416533397609056
550,Niger,2021,1,0,0.1408633004433492
551,Niger,2022,1,1,0.8242402684370651
552,Niger,2023,1,1,0.8792428476922224
553,Ivory Coast,2017,0,1,0.8200661774797758
554,Ivory Coast,2018,0,0,0.306509562776268
555,Ivory Coast,2019,0,0,0.11436794975510643
556,Ivory Coast,2020,0,0,0.3819529378510239
557,Ivory Coast,2021,0,0,0.1299669499759672
558,Ivory Coast,2022,0,0,0.12151156613341206
559,Ivory Coast,2023,0,0,0.17036694742673356
560,Guinea,2017,0,0,0.36576433369417644
561,Guinea,2018,0,0,0.14082959951592042
562,Guinea,2019,0,0,0.1415170241167252
563,Guinea,2020,1,0,0.17139879813413159
564,Guinea,2021,1,1,0.8792428476922224
565,Guinea,2022,0,1,0.8808700782576893
566,Guinea,2023,0,0,0.09963965682099941
567,Burkina Faso,2017,1,0,0.05759226405438494
568,Burkina Faso,2018,1,1,0.772365865778143
569,Burkina Faso,2019,1,1,0.8752968209243147
570,Burkina Faso,2020,1,1,0.8765755797734404
571,Burkina Faso,2021,1,1,0.8282694337521248
572,Burkina Faso,2022,1,1,0.8242402684370651
573,Burkina Faso,2023,1,1,0.8792428476922224
574,Liberia,2017,0,0,0.018719176079062573
575,Liberia,2018,0,0,0.00011860052316890881
576,Liberia,2019,0,0,6.909151303770139e-05
577,Liberia,2020,0,0,0.0
578,Liberia,2021,0,0,0.002176930425204854
