,country,year,d_protest,preds,preds_proba
348,Guatemala,2023,1,1,0.5497835497835498
349,Guinea,2017,0,0,0.04329004329004329
350,Guinea,2018,1,0,0.1038961038961039
351,Guinea,2019,1,0,0.13852813852813853
352,Guinea,2020,1,0,0.14285714285714285
353,Guinea,2021,1,0,0.16017316017316016
354,Guinea,2022,1,0,0.16883116883116883
355,Guinea,2023,1,0,0.16883116883116883
356,Guinea-Bissau,2017,0,0,0.004329004329004329
357,Guinea-Bissau,2018,0,0,0.004329004329004329
358,Guinea-Bissau,2019,0,0,0.017316017316017316
359,Guinea-Bissau,2020,0,0,0.03463203463203463
360,Guinea-Bissau,2021,0,0,0.03896103896103896
361,Guinea-Bissau,2022,0,0,0.05627705627705628
362,Guinea-Bissau,2023,0,0,0.06060606060606061
363,Guyana,2018,1,0,0.3116883116883117
364,Guyana,2019,1,0,0.329004329004329
365,Guyana,2020,1,0,0.3852813852813853
366,Guyana,2021,1,0,0.37662337662337664
367,Guyana,2022,1,0,0.37662337662337664
368,Guyana,2023,1,0,0.4155844155844156
369,Haiti,2018,1,0,0.3246753246753247
370,Haiti,2019,1,0,0.38095238095238093
371,Haiti,2020,1,0,0.4199134199134199
372,Haiti,2021,1,0,0.44155844155844154
373,Haiti,2022,1,0,0.4675324675324675
374,Haiti,2023,1,0,0.47186147186147187
375,Honduras,2018,1,0,0.42857142857142855
376,Honduras,2019,1,0,0.4458874458874459
377,Honduras,2020,1,0,0.45021645021645024
378,Honduras,2021,1,0,0.4458874458874459
379,Honduras,2022,1,0,0.44155844155844154
380,Honduras,2023,1,0,0.45021645021645024
381,Hungary,2020,1,1,0.7445887445887446
382,Hungary,2021,1,1,0.7489177489177489
383,Hungary,2022,1,1,0.7402597402597403
384,Hungary,2023,1,1,0.7229437229437229
385,Iceland,2020,1,1,0.5108225108225108
386,Iceland,2021,1,1,0.5238095238095238
387,Iceland,2022,1,1,0.5454545454545454
388,Iceland,2023,1,1,0.5584415584415584
389,India,2017,1,1,0.9047619047619048
390,India,2018,1,1,0.922077922077922
391,India,2019,1,1,0.9134199134199135
392,India,2020,1,1,0.922077922077922
393,India,2021,1,1,0.9177489177489178
394,India,2022,1,1,0.9177489177489178
395,India,2023,1,1,0.8831168831168831
396,Indonesia,2017,1,1,0.9653679653679653
397,Indonesia,2018,1,1,0.961038961038961
398,Indonesia,2019,1,1,0.9437229437229437
399,Indonesia,2020,1,1,0.935064935064935
400,Indonesia,2021,1,1,0.9004329004329005
401,Indonesia,2022,1,1,0.9004329004329005
402,Indonesia,2023,1,1,0.8831168831168831
403,Iran,2017,1,1,0.9177489177489178
404,Iran,2018,1,1,0.922077922077922
405,Iran,2019,1,1,0.8961038961038961
406,Iran,2020,1,1,0.8961038961038961
407,Iran,2021,1,1,0.8917748917748918
408,Iran,2022,1,1,0.9090909090909091
409,Iran,2023,1,1,0.9047619047619048
410,Iraq,2017,1,1,0.7748917748917749
411,Iraq,2018,1,1,0.7532467532467533
412,Iraq,2019,1,1,0.6796536796536796
413,Iraq,2020,1,1,0.6926406926406926
414,Iraq,2021,1,1,0.6796536796536796
415,Iraq,2022,1,1,0.683982683982684
416,Iraq,2023,1,1,0.6796536796536796
417,Ireland,2020,1,1,0.6493506493506493
418,Ireland,2021,1,1,0.6536796536796536
419,Ireland,2022,1,1,0.6536796536796536
420,Ireland,2023,1,1,0.6623376623376623
421,Israel,2017,1,1,0.9090909090909091
422,Israel,2018,1,1,0.9090909090909091
423,Israel,2019,1,1,0.8311688311688312
424,Israel,2020,1,1,0.8354978354978355
425,Israel,2021,1,1,0.8441558441558441
426,Israel,2022,1,1,0.8398268398268398
427,Israel,2023,1,1,0.8398268398268398
428,Italy,2020,1,1,0.6623376623376623
429,Italy,2021,1,1,0.6796536796536796
430,Italy,2022,1,1,0.6753246753246753
431,Italy,2023,1,1,0.6666666666666666
432,Ivory Coast,2017,0,0,0.23376623376623376
433,Ivory Coast,2018,0,0,0.31601731601731603
434,Ivory Coast,2019,1,0,0.29004329004329005
435,Ivory Coast,2020,1,0,0.3203463203463203
