,country,year,d_osv,preds,preds_proba
415,Lithuania,2019,0,0,0.0
416,Lithuania,2020,0,0,0.040192307692307694
417,Lithuania,2021,0,0,0.0
418,Lithuania,2022,0,0,0.040192307692307694
419,Lithuania,2023,0,0,0.040192307692307694
420,Ukraine,2017,0,0,0.0
421,Ukraine,2018,0,0,0.040192307692307694
422,Ukraine,2019,0,0,0.0
423,Ukraine,2020,0,0,0.040192307692307694
424,Ukraine,2021,0,0,0.0
425,Ukraine,2022,1,0,0.040192307692307694
426,Ukraine,2023,1,1,0.8384848484848485
427,Belarus,2017,0,0,0.0
428,Belarus,2018,0,0,0.040192307692307694
429,Belarus,2019,0,0,0.0
430,Belarus,2020,0,0,0.040192307692307694
431,Belarus,2021,0,0,0.0
432,Belarus,2022,0,0,0.040192307692307694
433,Belarus,2023,0,0,0.0
434,Armenia,2017,0,0,0.13090102707749768
435,Armenia,2018,0,0,0.11833333333333333
436,Armenia,2019,0,0,0.0
437,Armenia,2020,0,0,0.07884615384615384
438,Armenia,2021,0,0,0.11208791208791209
439,Armenia,2022,0,0,0.08849116984710205
440,Armenia,2023,0,0,0.02777103891420516
441,Georgia,2017,0,0,0.0
442,Georgia,2018,0,0,0.0
443,Georgia,2019,0,0,0.0
444,Georgia,2020,0,0,0.0
445,Georgia,2021,0,0,0.0
446,Georgia,2022,0,0,0.040192307692307694
447,Georgia,2023,1,0,0.0
448,Azerbaijan,2017,0,0,0.0
449,Azerbaijan,2018,0,0,0.0
450,Azerbaijan,2019,0,0,0.0
451,Azerbaijan,2020,0,0,0.0
452,Azerbaijan,2021,0,0,0.0
453,Azerbaijan,2022,0,0,0.0
454,Azerbaijan,2023,0,0,0.0
455,Finland,2017,0,0,0.0077304964539007094
456,Finland,2018,0,0,0.0077304964539007094
457,Finland,2019,0,0,0.0077304964539007094
458,Finland,2020,0,0,0.00015313935681470137
459,Finland,2021,0,0,0.0077304964539007094
460,Finland,2022,0,0,0.00015313935681470137
461,Finland,2023,0,0,0.00015313935681470137
462,Sweden,2017,1,0,0.0
463,Sweden,2018,0,1,0.8609523809523809
464,Sweden,2019,0,0,0.3484210526315789
465,Sweden,2020,0,0,0.2732142857142857
466,Sweden,2021,0,0,0.18908730158730158
