,country,year,d_terror,preds_proba
439,Lesotho,2020,0,0.1498300475558075
440,Botswana,2017,0,0.040072577394481126
441,Botswana,2018,0,0.04701277242230342
442,Botswana,2019,0,0.07207447343310017
443,Botswana,2020,0,0.05406450083608774
444,eSwatini,2017,0,0.03546725611127213
445,eSwatini,2018,0,0.047407205323957
446,eSwatini,2019,0,0.06192886775325285
447,eSwatini,2020,0,0.06360180595640103
448,Madagascar,2017,0,0.4952885190291714
449,Madagascar,2018,0,0.4117218273710217
450,Madagascar,2019,0,0.4050712873382407
451,Madagascar,2020,0,0.36064031436672256
452,Comoros,2017,0,0.029808880186302303
453,Comoros,2018,0,0.04645376235950302
454,Comoros,2019,0,0.08197935558823455
455,Comoros,2020,0,0.08521544271580572
456,Mauritius,2017,0,0.05759882759217655
457,Mauritius,2018,0,0.05298547337687495
458,Mauritius,2019,0,0.05431045708591278
459,Mauritius,2020,0,0.09042773047497624
460,Morocco,2017,0,0.1997737175839971
461,Morocco,2018,1,0.2019201907745214
462,Morocco,2019,0,0.32272748044736843
463,Morocco,2020,0,0.3009725826483042
464,Algeria,2017,1,0.9179609823169994
465,Algeria,2018,1,0.89968192671123
466,Algeria,2019,0,0.8679558353543411
467,Algeria,2020,1,0.7752849355776408
468,Tunisia,2017,1,0.7624168272053156
469,Tunisia,2018,1,0.7801659642853149
470,Tunisia,2019,1,0.7530769950164619
471,Tunisia,2020,1,0.7033591177881084
472,Libya,2017,1,0.715136791716881
473,Libya,2018,1,0.7348428591761708
474,Libya,2019,1,0.7239198200511446
475,Libya,2020,1,0.6724777297561897
476,Sudan,2017,1,0.8959829640991562
477,Sudan,2018,1,0.891869758983651
478,Sudan,2019,1,0.8505927188631333
479,Sudan,2020,1,0.8495736751247368
480,South Sudan,2017,1,0.7741327404210877
481,South Sudan,2018,1,0.7386585340438597
482,South Sudan,2019,1,0.7717795336012105
483,South Sudan,2020,1,0.7588961863422753
484,Iran,2017,1,0.9099115707881473
485,Iran,2018,1,0.9076830266415012
486,Iran,2019,1,0.8958434515626802
487,Iran,2020,1,0.8746946618196358
488,Turkey,2017,1,0.8947552261110278
489,Turkey,2018,1,0.8692879832750676
490,Turkey,2019,1,0.8527583402696051
491,Turkey,2020,1,0.8335851886158765
492,Iraq,2017,1,0.8923082106011739
493,Iraq,2018,1,0.883628471030457
