,country,dd,sb_fatalities,preds
494,Bulgaria,2023-03,0,0.0
495,Bulgaria,2023-04,0,0.0
496,Bulgaria,2023-05,0,0.0
497,Bulgaria,2023-06,0,0.0
498,Bulgaria,2023-07,0,0.0
499,Bulgaria,2023-08,0,0.0
500,Bulgaria,2023-09,0,0.0
501,Bulgaria,2023-10,0,0.0
502,Bulgaria,2023-11,0,0.0
503,Bulgaria,2023-12,0,0.0
504,Burkina Faso,2022-01,90,66.82
505,Burkina Faso,2022-02,126,110.33
506,Burkina Faso,2022-03,193,439.82
507,Burkina Faso,2022-04,116,156.27
508,Burkina Faso,2022-05,280,21.77
509,Burkina Faso,2022-06,148,16.91
510,Burkina Faso,2022-07,146,123.54
511,Burkina Faso,2022-08,178,230.21
512,Burkina Faso,2022-09,207,170.39
513,Burkina Faso,2022-10,87,78.74
514,Burkina Faso,2022-11,249,18.08
515,Burkina Faso,2022-12,149,13.77
516,Burkina Faso,2023-01,216,56.1
517,Burkina Faso,2023-02,367,6.56
518,Burkina Faso,2023-03,490,12.0
519,Burkina Faso,2023-04,428,22.82
520,Burkina Faso,2023-05,351,4.04
521,Burkina Faso,2023-06,656,32.11
522,Burkina Faso,2023-07,350,8.32
523,Burkina Faso,2023-08,376,20.33
524,Burkina Faso,2023-09,298,17.76
525,Burkina Faso,2023-10,425,35.49
526,Burkina Faso,2023-11,378,25.62
527,Burkina Faso,2023-12,51,3.45
528,Burundi,2022-01,0,39.33
529,Burundi,2022-02,0,62.91
530,Burundi,2022-03,0,69.75
531,Burundi,2022-04,0,49.47
532,Burundi,2022-05,0,286.87
533,Burundi,2022-06,10,122.85
534,Burundi,2022-07,0,109.61
535,Burundi,2022-08,0,5.76
536,Burundi,2022-09,0,106.82516666666666
537,Burundi,2022-10,0,16.41
538,Burundi,2022-11,0,14.25
539,Burundi,2022-12,0,147.66
540,Burundi,2023-01,0,225.64
541,Burundi,2023-02,0,5.82
542,Burundi,2023-03,0,33.8775
543,Burundi,2023-04,0,32.46
544,Burundi,2023-05,0,22.33
545,Burundi,2023-06,0,26.91
546,Burundi,2023-07,0,101.99
547,Burundi,2023-08,0,7.72
548,Burundi,2023-09,62,151.92095238095237
549,Burundi,2023-10,0,19.38
550,Burundi,2023-11,0,18.62
551,Burundi,2023-12,23,15.39
552,Cabo Verde,2022-01,0,0.0
553,Cabo Verde,2022-02,0,0.0
554,Cabo Verde,2022-03,0,0.0
555,Cabo Verde,2022-04,0,0.0
556,Cabo Verde,2022-05,0,0.0
557,Cabo Verde,2022-06,0,0.0
558,Cabo Verde,2022-07,0,0.0
559,Cabo Verde,2022-08,0,0.0
560,Cabo Verde,2022-09,0,0.0
561,Cabo Verde,2022-10,0,0.0
562,Cabo Verde,2022-11,0,0.0
563,Cabo Verde,2022-12,0,0.0
564,Cabo Verde,2023-01,0,0.0
565,Cabo Verde,2023-02,0,0.0
566,Cabo Verde,2023-03,0,0.0
567,Cabo Verde,2023-04,0,0.0
568,Cabo Verde,2023-05,0,0.0
569,Cabo Verde,2023-06,0,0.0
570,Cabo Verde,2023-07,0,0.0
571,Cabo Verde,2023-08,0,0.0
572,Cabo Verde,2023-09,0,0.0
573,Cabo Verde,2023-10,0,0.0
574,Cabo Verde,2023-11,0,0.0
575,Cabo Verde,2023-12,0,0.0
576,Cambodia (Kampuchea),2022-01,0,0.0
577,Cambodia (Kampuchea),2022-02,0,0.0
578,Cambodia (Kampuchea),2022-03,0,0.0
579,Cambodia (Kampuchea),2022-04,0,0.0
